Status_of_existing_checking_account,Duration_in_month,Credit_history,Purpose,Credit_amount,Savings_account/bonds,Present_employment_since,Installment_rate_in_percentage_of_disposable_income,Personal_status_and_sex,Other_debtors/guarantors,Present_residence_since,Property,Age_in_years,Other_installment_plans,Housing,Number_of_existing_credits_at_this_bank,Job,Number_of_people_being_liable_to_provide_maintenance_for,Telephone,foreign_worker,credit_risk
no checking account,15,critical account/ other credits existing,new car,5045,unkown/no savings account,greater than 7 years,1,female : divorced/separated/married,none,4,car or other,59,,own,1,skilled employee,1,yes,Y,1
less than 0,18,critical account/ other credits existing,furniture/equipment,2124,less than 116,less than 4 years,4,female : divorced/separated/married,none,4,real estate,24,,rent,2,skilled employee,1,none,Y,0
less than 0,12,existing credits paid back till now,radio/television,2214,less than 116,less than 4 years,4,male : single,none,3,building society saving agreement/life insurance,24,,own,1,unskilled,1,none,Y,1
no checking account,21,critical account/ other credits existing,new car,12680,unkown/no savings account,greater than 7 years,4,male : single,none,4,unkown/no property,30,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,24,critical account/ other credits existing,new car,2463,less than 291,less than 7 years,4,male : married/widowed,none,3,building society saving agreement/life insurance,27,,own,2,skilled employee,1,yes,Y,1
less than 116,12,existing credits paid back till now,radio/television,1155,less than 116,greater than 7 years,3,male : married/widowed,guarantor,3,real estate,40,none,own,2,unskilled,1,none,Y,1
less than 0,30,existing credits paid back till now,furniture/equipment,3108,less than 116,less than 1 year,2,male : divocred/separated,none,4,building society saving agreement/life insurance,31,,own,1,unskilled,1,none,Y,0
no checking account,10,existing credits paid back till now,used car,2901,unkown/no savings account,less than 1 year,1,female : divorced/separated/married,none,4,real estate,31,,rent,1,skilled employee,1,none,Y,1
less than 116,12,critical account/ other credits existing,furniture/equipment,3617,less than 116,greater than 7 years,1,male : single,none,4,car or other,28,,rent,3,skilled employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,radio/television,1655,less than 116,greater than 7 years,2,male : single,none,4,real estate,63,,own,2,unskilled,1,yes,Y,1
less than 0,24,existing credits paid back till now,used car,2812,unkown/no savings account,greater than 7 years,2,female : divorced/separated/married,none,4,real estate,26,,rent,1,skilled employee,1,none,Y,1
less than 0,36,critical account/ other credits existing,education,8065,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,unkown/no property,25,,own,2,self_employed/highly qualified employee,1,yes,Y,0
no checking account,21,critical account/ other credits existing,used car,3275,less than 116,greater than 7 years,1,male : single,none,4,car or other,36,,own,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,24,critical account/ other credits existing,radio/television,2223,less than 291,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,52,none,own,2,skilled employee,1,none,Y,1
greater than or equal to 116,12,critical account/ other credits existing,new car,1480,less than 582,unemployed,2,male : single,none,4,unkown/no property,66,none,for free,3,unemployed,1,none,Y,1
less than 0,24,existing credits paid back till now,new car,1371,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,4,real estate,25,,rent,1,skilled employee,1,none,Y,0
no checking account,36,critical account/ other credits existing,new car,3535,less than 116,less than 7 years,4,male : single,none,4,car or other,37,,own,2,skilled employee,1,yes,Y,1
less than 0,18,existing credits paid back till now,radio/television,3509,less than 116,less than 7 years,4,female : divorced/separated/married,guarantor,1,real estate,25,,own,1,skilled employee,1,none,Y,1
no checking account,36,critical account/ other credits existing,used car,5711,greater than 582,greater than 7 years,4,male : single,none,2,car or other,38,,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 116,18,existing credits paid back till now,repairs,3872,less than 116,unemployed,2,female : divorced/separated/married,none,4,car or other,67,,own,1,skilled employee,1,yes,Y,1
less than 116,39,critical account/ other credits existing,radio/television,4933,less than 116,less than 7 years,2,male : single,guarantor,2,real estate,25,,own,2,skilled employee,1,none,Y,0
no checking account,24,critical account/ other credits existing,new car,1940,greater than 582,greater than 7 years,4,male : single,none,4,real estate,60,,own,1,skilled employee,1,yes,Y,1
less than 116,12,no credits taken/all credit paid back,retraining,1410,less than 116,less than 4 years,2,male : single,none,2,real estate,31,,own,1,unskilled,1,yes,Y,1
less than 116,12,existing credits paid back till now,new car,836,less than 291,less than 1 year,4,female : divorced/separated/married,none,2,building society saving agreement/life insurance,23,none,own,1,unskilled,1,none,Y,0
less than 116,20,existing credits paid back till now,used car,6468,unkown/no savings account,unemployed,1,male : divocred/separated,none,4,real estate,60,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,18,existing credits paid back till now,business,1941,greater than 582,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,35,,own,1,unskilled,1,yes,Y,1
no checking account,22,existing credits paid back till now,radio/television,2675,less than 582,greater than 7 years,3,male : single,none,4,car or other,40,,own,1,skilled employee,1,none,Y,1
no checking account,48,critical account/ other credits existing,used car,2751,unkown/no savings account,greater than 7 years,4,male : single,none,3,car or other,38,,own,2,skilled employee,2,yes,Y,1
less than 116,48,delay in paying off in the past,education,6224,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,50,,for free,1,skilled employee,1,none,Y,0
less than 0,40,critical account/ other credits existing,education,5998,less than 116,less than 4 years,4,male : single,none,3,unkown/no property,27,none,own,1,skilled employee,1,yes,Y,0
less than 116,21,existing credits paid back till now,business,1188,less than 116,greater than 7 years,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,39,,own,1,skilled employee,2,none,Y,0
no checking account,24,existing credits paid back till now,used car,6313,unkown/no savings account,greater than 7 years,3,male : single,none,4,car or other,41,,own,1,self_employed/highly qualified employee,2,yes,Y,1
no checking account,6,critical account/ other credits existing,furniture/equipment,1221,unkown/no savings account,less than 4 years,1,male : married/widowed,none,2,building society saving agreement/life insurance,27,,own,2,skilled employee,1,none,Y,1
greater than or equal to 116,24,existing credits paid back till now,furniture/equipment,2892,less than 116,greater than 7 years,3,male : divocred/separated,none,4,unkown/no property,51,,for free,1,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,furniture/equipment,3062,less than 582,greater than 7 years,4,male : single,none,3,unkown/no property,32,,rent,1,skilled employee,1,yes,Y,1
no checking account,9,existing credits paid back till now,furniture/equipment,2301,less than 291,less than 1 year,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,22,,rent,1,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,used car,7511,unkown/no savings account,greater than 7 years,1,male : single,none,4,building society saving agreement/life insurance,51,,for free,1,skilled employee,2,yes,Y,0
no checking account,12,critical account/ other credits existing,furniture/equipment,1258,less than 116,less than 1 year,2,female : divorced/separated/married,none,4,building society saving agreement/life insurance,22,,rent,2,unskilled,1,none,Y,1
no checking account,24,delay in paying off in the past,new car,717,unkown/no savings account,greater than 7 years,4,male : married/widowed,none,4,car or other,54,,own,2,skilled employee,1,yes,Y,1
less than 116,9,existing credits paid back till now,new car,1549,unkown/no savings account,less than 1 year,4,male : single,none,2,real estate,35,,own,1,unemployed,1,none,Y,1
no checking account,24,critical account/ other credits existing,education,1597,less than 116,greater than 7 years,4,male : single,none,4,unkown/no property,54,,for free,2,skilled employee,2,none,Y,1
less than 116,18,critical account/ other credits existing,radio/television,1795,less than 116,greater than 7 years,3,female : divorced/separated/married,guarantor,4,real estate,48,none,rent,2,unskilled,1,yes,Y,1
less than 0,20,critical account/ other credits existing,furniture/equipment,4272,less than 116,greater than 7 years,1,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,,own,2,skilled employee,1,none,Y,1
no checking account,12,critical account/ other credits existing,radio/television,976,unkown/no savings account,greater than 7 years,4,male : single,none,4,car or other,35,,own,2,skilled employee,1,none,Y,1
less than 116,12,existing credits paid back till now,new car,7472,unkown/no savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,,rent,1,unemployed,1,none,Y,1
less than 0,36,existing credits paid back till now,new car,9271,less than 116,less than 7 years,2,male : single,none,1,car or other,24,,own,1,skilled employee,1,yes,Y,0
less than 116,6,existing credits paid back till now,radio/television,590,less than 116,less than 1 year,3,male : married/widowed,none,3,real estate,26,,own,1,unskilled,1,none,N,1
no checking account,12,critical account/ other credits existing,radio/television,930,unkown/no savings account,greater than 7 years,4,male : single,none,4,real estate,65,,own,4,skilled employee,1,none,Y,1
less than 116,42,all credits at this bank paid back,used car,9283,less than 116,unemployed,1,male : single,none,2,unkown/no property,55,none,for free,1,self_employed/highly qualified employee,1,yes,Y,1
less than 116,15,no credits taken/all credit paid back,new car,1778,less than 116,less than 1 year,2,female : divorced/separated/married,none,1,real estate,26,,rent,2,unemployed,1,none,Y,0
less than 116,8,existing credits paid back till now,business,907,less than 116,less than 1 year,3,male : married/widowed,none,2,real estate,26,,own,1,skilled employee,1,yes,Y,1
less than 116,6,existing credits paid back till now,radio/television,484,less than 116,less than 7 years,3,male : married/widowed,guarantor,3,real estate,28,none,own,1,unskilled,1,none,Y,1
less than 0,36,critical account/ other credits existing,used car,9629,less than 116,less than 7 years,4,male : single,none,4,car or other,24,,own,2,skilled employee,1,yes,Y,0
less than 0,48,existing credits paid back till now,domestic appliances,3051,less than 116,less than 4 years,3,male : single,none,4,car or other,54,,own,1,skilled employee,1,none,Y,0
less than 0,48,existing credits paid back till now,new car,3931,less than 116,less than 7 years,4,male : single,none,4,unkown/no property,46,,for free,1,skilled employee,2,none,Y,0
less than 116,36,delay in paying off in the past,new car,7432,less than 116,less than 4 years,2,female : divorced/separated/married,none,2,building society saving agreement/life insurance,54,,rent,1,skilled employee,1,none,Y,1
no checking account,6,existing credits paid back till now,domestic appliances,1338,less than 582,less than 4 years,1,male : divocred/separated,none,4,real estate,62,,own,1,skilled employee,1,none,Y,1
no checking account,6,critical account/ other credits existing,radio/television,1554,less than 116,less than 7 years,1,female : divorced/separated/married,none,2,car or other,24,,rent,2,skilled employee,1,yes,Y,1
less than 0,36,existing credits paid back till now,others,15857,less than 116,unemployed,2,male : divocred/separated,co-applicant,3,car or other,43,,own,1,self_employed/highly qualified employee,1,none,Y,1
less than 0,18,existing credits paid back till now,radio/television,1345,less than 116,less than 4 years,4,male : married/widowed,none,3,real estate,26,none,own,1,skilled employee,1,none,Y,0
no checking account,12,existing credits paid back till now,new car,1101,less than 116,less than 4 years,3,male : married/widowed,none,2,real estate,27,,own,2,skilled employee,1,yes,Y,1
greater than or equal to 116,12,existing credits paid back till now,radio/television,3016,less than 116,less than 4 years,3,male : married/widowed,none,1,car or other,24,,own,1,skilled employee,1,none,Y,1
less than 0,36,existing credits paid back till now,furniture/equipment,2712,less than 116,greater than 7 years,2,male : single,none,2,building society saving agreement/life insurance,41,none,own,1,skilled employee,2,none,Y,0
less than 0,8,critical account/ other credits existing,new car,731,less than 116,greater than 7 years,4,male : single,none,4,real estate,47,,own,2,unskilled,1,none,Y,1
no checking account,18,critical account/ other credits existing,furniture/equipment,3780,less than 116,less than 1 year,3,male : divocred/separated,none,2,car or other,35,,own,2,self_employed/highly qualified employee,1,yes,Y,1
less than 0,21,critical account/ other credits existing,new car,1602,less than 116,greater than 7 years,4,male : married/widowed,none,3,car or other,30,,own,2,skilled employee,1,yes,Y,1
less than 0,18,critical account/ other credits existing,new car,3966,less than 116,greater than 7 years,1,female : divorced/separated/married,none,4,real estate,33,none,rent,3,skilled employee,1,yes,Y,0
no checking account,18,no credits taken/all credit paid back,business,4165,less than 116,less than 4 years,2,male : single,none,2,car or other,36,stores,own,2,skilled employee,2,none,Y,0
less than 0,36,existing credits paid back till now,used car,8335,unkown/no savings account,greater than 7 years,3,male : single,none,4,unkown/no property,47,,for free,1,skilled employee,1,none,Y,0
less than 116,48,delay in paying off in the past,business,6681,unkown/no savings account,less than 4 years,4,male : single,none,4,unkown/no property,38,,for free,1,skilled employee,2,yes,Y,1
no checking account,24,delay in paying off in the past,business,2375,less than 582,less than 4 years,4,male : single,none,2,car or other,44,,own,2,skilled employee,2,yes,Y,1
less than 0,18,existing credits paid back till now,new car,1216,less than 116,less than 1 year,4,female : divorced/separated/married,none,3,car or other,23,,rent,1,skilled employee,1,yes,Y,0
less than 0,45,no credits taken/all credit paid back,business,11816,less than 116,greater than 7 years,2,male : single,none,4,car or other,29,,rent,2,skilled employee,1,none,Y,0
less than 116,24,existing credits paid back till now,radio/television,5084,unkown/no savings account,greater than 7 years,2,female : divorced/separated/married,none,4,car or other,42,,own,1,skilled employee,1,yes,Y,1
greater than or equal to 116,15,existing credits paid back till now,radio/television,2327,less than 116,less than 1 year,2,female : divorced/separated/married,none,3,real estate,25,,own,1,unskilled,1,none,Y,0
less than 0,12,no credits taken/all credit paid back,new car,1082,less than 116,less than 4 years,4,male : single,none,4,car or other,48,none,own,2,skilled employee,1,none,Y,0
no checking account,12,existing credits paid back till now,radio/television,886,unkown/no savings account,less than 4 years,4,female : divorced/separated/married,none,2,car or other,21,,own,1,skilled employee,1,none,Y,1
no checking account,4,existing credits paid back till now,furniture/equipment,601,less than 116,less than 1 year,1,female : divorced/separated/married,none,3,real estate,23,,rent,1,unskilled,2,none,Y,1
less than 0,24,critical account/ other credits existing,used car,2957,less than 116,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,63,,own,2,skilled employee,1,yes,Y,1
no checking account,24,critical account/ other credits existing,radio/television,2611,less than 116,greater than 7 years,4,male : married/widowed,co-applicant,3,real estate,46,,own,2,skilled employee,1,none,Y,1
less than 0,36,existing credits paid back till now,furniture/equipment,5179,less than 116,less than 7 years,4,male : single,none,2,building society saving agreement/life insurance,29,,own,1,skilled employee,1,none,Y,0
no checking account,21,delay in paying off in the past,used car,2993,less than 116,less than 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled,1,none,Y,1
no checking account,18,existing credits paid back till now,repairs,1943,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,real estate,23,,own,1,skilled employee,1,none,Y,0
no checking account,24,all credits at this bank paid back,business,1559,less than 116,less than 7 years,4,male : single,none,4,car or other,50,none,own,1,skilled employee,1,yes,Y,1
no checking account,18,existing credits paid back till now,furniture/equipment,3422,less than 116,greater than 7 years,4,male : single,none,4,building society saving agreement/life insurance,47,none,own,3,skilled employee,2,yes,Y,1
less than 116,21,existing credits paid back till now,furniture/equipment,3976,unkown/no savings account,less than 7 years,2,male : single,none,3,car or other,35,,own,1,skilled employee,1,yes,Y,1
no checking account,18,existing credits paid back till now,new car,6761,unkown/no savings account,less than 4 years,2,male : single,none,4,car or other,68,,rent,2,skilled employee,1,none,Y,0
no checking account,24,existing credits paid back till now,new car,1249,less than 116,less than 1 year,4,male : married/widowed,none,2,real estate,28,,own,1,skilled employee,1,none,Y,1
less than 0,9,existing credits paid back till now,radio/television,1364,less than 116,less than 7 years,3,male : single,none,4,real estate,59,,own,1,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,radio/television,709,less than 116,greater than 7 years,4,male : single,none,4,real estate,57,stores,own,1,unskilled,1,none,Y,0
less than 0,20,critical account/ other credits existing,new car,2235,less than 116,less than 4 years,4,male : married/widowed,guarantor,2,building society saving agreement/life insurance,33,none,rent,2,skilled employee,1,none,N,0
no checking account,24,critical account/ other credits existing,used car,4042,unkown/no savings account,less than 7 years,3,male : single,none,4,building society saving agreement/life insurance,43,,own,2,skilled employee,1,yes,Y,1
no checking account,15,critical account/ other credits existing,radio/television,1471,less than 116,less than 4 years,4,male : single,none,4,unkown/no property,35,,for free,2,skilled employee,1,yes,Y,1
less than 0,18,all credits at this bank paid back,new car,1442,less than 116,less than 7 years,4,male : single,none,4,unkown/no property,32,,for free,2,unskilled,2,none,Y,0
no checking account,36,delay in paying off in the past,new car,10875,less than 116,greater than 7 years,2,male : single,none,2,car or other,45,,own,2,skilled employee,2,yes,Y,1
no checking account,24,existing credits paid back till now,new car,1474,less than 291,less than 1 year,4,male : married/widowed,none,3,real estate,33,,own,1,skilled employee,1,yes,Y,1
no checking account,10,existing credits paid back till now,retraining,894,unkown/no savings account,less than 7 years,4,female : divorced/separated/married,none,3,building society saving agreement/life insurance,40,,own,1,skilled employee,1,yes,Y,1
no checking account,15,critical account/ other credits existing,furniture/equipment,3343,less than 116,less than 4 years,4,male : single,none,2,unkown/no property,28,,for free,1,skilled employee,1,yes,Y,1
less than 0,15,existing credits paid back till now,new car,3959,less than 116,less than 4 years,3,female : divorced/separated/married,none,2,building society saving agreement/life insurance,29,,own,1,skilled employee,1,yes,Y,0
no checking account,9,existing credits paid back till now,new car,3577,less than 291,less than 4 years,1,male : single,guarantor,2,real estate,26,,rent,1,skilled employee,2,none,N,1
no checking account,24,critical account/ other credits existing,used car,5804,greater than 582,less than 4 years,4,male : single,none,2,real estate,27,,own,2,skilled employee,1,none,Y,1
no checking account,18,delay in paying off in the past,business,2169,less than 116,less than 4 years,4,male : married/widowed,none,2,car or other,28,,own,1,skilled employee,1,yes,Y,0
less than 0,24,existing credits paid back till now,radio/television,2439,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,real estate,35,,own,1,skilled employee,1,yes,Y,0
no checking account,27,critical account/ other credits existing,furniture/equipment,4526,greater than 582,less than 1 year,4,male : single,none,2,real estate,32,stores,own,2,unskilled,2,yes,Y,1
no checking account,10,existing credits paid back till now,furniture/equipment,2210,less than 116,less than 4 years,2,male : single,none,2,real estate,25,none,rent,1,unskilled,1,none,Y,0
no checking account,15,existing credits paid back till now,furniture/equipment,2221,less than 582,less than 4 years,2,female : divorced/separated/married,none,4,car or other,20,,rent,1,skilled employee,1,none,Y,1
less than 0,18,existing credits paid back till now,radio/television,2389,less than 116,less than 1 year,4,female : divorced/separated/married,none,1,car or other,27,stores,own,1,skilled employee,1,none,Y,1
no checking account,12,critical account/ other credits existing,furniture/equipment,3331,less than 116,greater than 7 years,2,male : single,none,4,building society saving agreement/life insurance,42,stores,own,1,skilled employee,1,none,Y,1
no checking account,36,existing credits paid back till now,business,7409,unkown/no savings account,greater than 7 years,3,male : single,none,2,building society saving agreement/life insurance,37,,own,2,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,652,less than 116,greater than 7 years,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,24,,rent,1,skilled employee,1,none,Y,1
no checking account,36,delay in paying off in the past,furniture/equipment,7678,less than 582,less than 7 years,2,female : divorced/separated/married,none,4,car or other,40,,own,2,skilled employee,1,yes,Y,1
greater than or equal to 116,6,critical account/ other credits existing,new car,1343,less than 116,greater than 7 years,1,male : single,none,4,real estate,46,,own,2,skilled employee,2,none,N,1
less than 0,24,critical account/ other credits existing,business,1382,less than 291,less than 7 years,4,male : single,none,1,real estate,26,,own,2,skilled employee,1,yes,Y,1
no checking account,15,existing credits paid back till now,domestic appliances,874,unkown/no savings account,less than 1 year,4,female : divorced/separated/married,none,1,real estate,24,,own,1,skilled employee,1,none,Y,1
less than 0,12,existing credits paid back till now,furniture/equipment,3590,less than 116,less than 4 years,2,male : single,co-applicant,2,building society saving agreement/life insurance,29,,own,1,unskilled,2,none,Y,1
less than 116,11,critical account/ other credits existing,new car,1322,greater than 582,less than 4 years,4,female : divorced/separated/married,none,4,car or other,40,,own,2,skilled employee,1,none,Y,1
less than 0,18,all credits at this bank paid back,radio/television,1940,less than 116,less than 1 year,3,male : single,co-applicant,4,unkown/no property,36,none,for free,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,36,existing credits paid back till now,radio/television,3595,less than 116,greater than 7 years,4,male : single,none,2,car or other,28,,own,1,skilled employee,1,none,Y,1
less than 0,9,existing credits paid back till now,new car,1422,less than 116,less than 1 year,3,male : single,none,2,unkown/no property,27,,for free,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,30,critical account/ other credits existing,radio/television,6742,unkown/no savings account,less than 7 years,2,male : single,none,3,building society saving agreement/life insurance,36,,own,2,skilled employee,1,none,Y,1
no checking account,24,existing credits paid back till now,used car,7814,less than 116,less than 7 years,3,male : single,none,3,car or other,38,,own,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,used car,9277,unkown/no savings account,less than 4 years,2,male : divocred/separated,none,4,unkown/no property,48,,for free,1,skilled employee,1,yes,Y,1
less than 116,30,critical account/ other credits existing,new car,2181,unkown/no savings account,greater than 7 years,4,male : single,none,4,real estate,36,,own,2,skilled employee,1,none,Y,1
no checking account,18,critical account/ other credits existing,radio/television,1098,less than 116,unemployed,4,female : divorced/separated/married,none,4,car or other,65,,own,2,unemployed,1,none,Y,1
less than 116,24,existing credits paid back till now,furniture/equipment,4057,less than 116,less than 7 years,3,male : divocred/separated,none,3,car or other,43,,own,1,skilled employee,1,yes,Y,0
less than 0,12,existing credits paid back till now,education,795,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,53,,own,1,skilled employee,1,none,Y,0
less than 116,24,critical account/ other credits existing,business,2825,unkown/no savings account,less than 7 years,4,male : single,none,3,unkown/no property,34,,own,2,skilled employee,2,yes,Y,1
less than 116,48,existing credits paid back till now,business,15672,less than 116,less than 4 years,2,male : single,none,2,car or other,23,,own,1,skilled employee,1,yes,Y,0
no checking account,36,critical account/ other credits existing,new car,6614,less than 116,greater than 7 years,4,male : single,none,4,car or other,34,,own,2,self_employed/highly qualified employee,1,yes,Y,1
no checking account,28,all credits at this bank paid back,used car,7824,unkown/no savings account,less than 1 year,3,male : single,guarantor,4,real estate,40,none,rent,2,skilled employee,2,yes,Y,1
less than 0,27,critical account/ other credits existing,business,2442,less than 116,greater than 7 years,4,male : single,none,4,car or other,43,stores,own,4,self_employed/highly qualified employee,2,yes,Y,1
no checking account,15,critical account/ other credits existing,radio/television,1829,less than 116,greater than 7 years,4,male : single,none,4,car or other,46,,own,2,skilled employee,1,yes,Y,1
less than 0,12,critical account/ other credits existing,new car,2171,less than 116,less than 4 years,4,male : single,none,4,building society saving agreement/life insurance,38,none,own,2,unskilled,1,none,N,1
less than 116,36,critical account/ other credits existing,used car,5800,less than 116,less than 4 years,3,male : single,none,4,car or other,34,,own,2,skilled employee,1,yes,Y,1
no checking account,18,critical account/ other credits existing,radio/television,1169,unkown/no savings account,less than 4 years,4,male : single,none,3,building society saving agreement/life insurance,29,,own,2,skilled employee,1,yes,Y,1
no checking account,36,delay in paying off in the past,used car,8947,unkown/no savings account,less than 7 years,3,male : single,none,2,car or other,31,stores,own,1,self_employed/highly qualified employee,2,yes,Y,1
less than 0,21,existing credits paid back till now,radio/television,2606,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,28,,rent,1,self_employed/highly qualified employee,1,yes,Y,1
no checking account,12,critical account/ other credits existing,furniture/equipment,1592,greater than 582,less than 7 years,3,female : divorced/separated/married,none,2,building society saving agreement/life insurance,35,,own,1,skilled employee,1,none,N,1
no checking account,15,existing credits paid back till now,furniture/equipment,2186,unkown/no savings account,less than 7 years,1,female : divorced/separated/married,none,4,real estate,33,none,rent,1,unskilled,1,none,Y,1
less than 0,18,existing credits paid back till now,furniture/equipment,4153,less than 116,less than 4 years,2,male : single,co-applicant,3,car or other,42,,own,1,skilled employee,1,none,Y,0
less than 0,16,critical account/ other credits existing,new car,2625,less than 116,greater than 7 years,2,male : single,guarantor,4,building society saving agreement/life insurance,43,none,rent,1,skilled employee,1,yes,Y,0
no checking account,20,critical account/ other credits existing,new car,3485,unkown/no savings account,less than 1 year,2,male : divocred/separated,none,4,real estate,44,,own,2,skilled employee,1,yes,Y,1
no checking account,36,critical account/ other credits existing,used car,10477,unkown/no savings account,greater than 7 years,2,male : single,none,4,unkown/no property,42,,for free,2,skilled employee,1,none,Y,1
no checking account,15,existing credits paid back till now,radio/television,1386,unkown/no savings account,less than 4 years,4,male : married/widowed,none,2,real estate,40,,rent,1,skilled employee,1,yes,Y,1
no checking account,24,existing credits paid back till now,radio/television,1278,less than 116,greater than 7 years,4,male : single,none,1,real estate,36,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,12,existing credits paid back till now,radio/television,1107,less than 116,less than 4 years,2,male : single,none,2,real estate,20,,rent,1,self_employed/highly qualified employee,2,yes,Y,1
less than 0,21,existing credits paid back till now,new car,3763,unkown/no savings account,less than 7 years,2,male : single,co-applicant,2,real estate,24,,own,1,unskilled,1,none,N,1
less than 116,36,existing credits paid back till now,education,3711,unkown/no savings account,less than 4 years,2,male : married/widowed,none,2,car or other,27,,own,1,skilled employee,1,none,Y,1
no checking account,15,delay in paying off in the past,used car,3594,less than 116,less than 1 year,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,46,,own,2,unskilled,1,none,Y,1
less than 116,9,existing credits paid back till now,new car,3195,unkown/no savings account,less than 4 years,1,female : divorced/separated/married,none,2,real estate,33,,own,1,unskilled,1,none,Y,1
no checking account,36,delay in paying off in the past,radio/television,4454,less than 116,less than 4 years,4,female : divorced/separated/married,none,4,real estate,34,,own,2,skilled employee,1,none,Y,1
less than 116,24,critical account/ other credits existing,furniture/equipment,4736,less than 116,less than 1 year,2,female : divorced/separated/married,none,4,car or other,25,none,own,1,unskilled,1,none,Y,0
less than 116,30,existing credits paid back till now,radio/television,2991,unkown/no savings account,greater than 7 years,2,female : divorced/separated/married,none,4,car or other,25,,own,1,skilled employee,1,none,Y,1
no checking account,11,existing credits paid back till now,business,2142,greater than 582,greater than 7 years,1,male : divocred/separated,none,2,real estate,28,,own,1,skilled employee,1,yes,Y,1
less than 0,24,all credits at this bank paid back,business,3161,less than 116,less than 4 years,4,male : single,none,2,building society saving agreement/life insurance,31,,rent,1,skilled employee,1,yes,Y,0
less than 116,48,no credits taken/all credit paid back,others,18424,less than 116,less than 4 years,1,female : divorced/separated/married,none,2,building society saving agreement/life insurance,32,none,own,1,self_employed/highly qualified employee,1,yes,N,0
no checking account,10,existing credits paid back till now,used car,2848,less than 291,less than 4 years,1,male : single,co-applicant,2,real estate,32,,own,1,skilled employee,2,none,Y,1
less than 0,6,existing credits paid back till now,new car,14896,less than 116,greater than 7 years,1,male : single,none,4,unkown/no property,68,none,own,1,self_employed/highly qualified employee,1,yes,Y,0
less than 0,24,existing credits paid back till now,furniture/equipment,2359,less than 291,unemployed,1,male : divocred/separated,none,1,building society saving agreement/life insurance,33,,own,1,skilled employee,1,none,Y,0
less than 0,24,existing credits paid back till now,furniture/equipment,3345,less than 116,greater than 7 years,4,male : single,none,2,building society saving agreement/life insurance,39,,rent,1,self_employed/highly qualified employee,1,yes,Y,0
no checking account,18,critical account/ other credits existing,furniture/equipment,1817,less than 116,less than 4 years,4,female : divorced/separated/married,none,2,unkown/no property,28,,own,2,skilled employee,1,none,Y,1
no checking account,48,delay in paying off in the past,radio/television,12749,less than 582,less than 7 years,4,male : single,none,1,car or other,37,,own,1,self_employed/highly qualified employee,1,yes,Y,1
less than 0,9,existing credits paid back till now,radio/television,1366,less than 116,less than 1 year,3,female : divorced/separated/married,none,4,building society saving agreement/life insurance,22,,rent,1,skilled employee,1,none,Y,0
less than 116,12,existing credits paid back till now,new car,2002,less than 116,less than 7 years,3,male : single,none,4,building society saving agreement/life insurance,30,,rent,1,skilled employee,2,yes,Y,1
less than 0,24,all credits at this bank paid back,furniture/equipment,6872,less than 116,less than 1 year,2,male : divocred/separated,none,1,building society saving agreement/life insurance,55,none,own,1,skilled employee,1,yes,Y,0
less than 0,12,all credits at this bank paid back,new car,697,less than 116,less than 1 year,4,male : single,none,2,car or other,46,none,own,2,skilled employee,1,yes,Y,0
less than 0,18,critical account/ other credits existing,furniture/equipment,1049,less than 116,less than 1 year,4,female : divorced/separated/married,none,4,building society saving agreement/life insurance,21,,rent,1,skilled employee,1,none,Y,1
less than 0,48,existing credits paid back till now,used car,10297,less than 116,less than 7 years,4,male : single,none,4,unkown/no property,39,stores,for free,3,skilled employee,2,yes,Y,0
no checking account,30,existing credits paid back till now,radio/television,1867,unkown/no savings account,greater than 7 years,4,male : single,none,4,car or other,58,,own,1,skilled employee,1,yes,Y,1
